loanID,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,is_bad
70568681,4800,4800,4800.0, 36 months,16.99,171.11,D,D3,Customer service ,1 year,RENT,24000.0,Verified,n,,,debt_consolidation,Debt consolidation,759xx,TX,16.1,0.0,Feb-2012,0.0,,,7.0,0.0,2911,18.3,10.0,f,0
91583334,12000,12000,12000.0, 36 months,11.14,393.67,B,B2,Dr. Kremer,2 years,MORTGAGE,48000.0,Verified,n,,,credit_card,Credit card refinancing,960xx,CA,8.6,0.0,Apr-1995,0.0,,91.0,6.0,1.0,7747,67.4,14.0,w,0
74758949,11500,11500,11500.0, 36 months,14.09,393.55,B,B5,OPWDDSO,9 years,OWN,42000.0,Verified,n,,"  Borrower added on 04/23/13 > I am looking to consolidate my high interest credit cards and 1 high interest personal loan.  I am looking to return to school, so I would like a lower monthly payment to enable this goal.<br>",debt_consolidation,Consolidation,147xx,NY,31.83,0.0,Nov-1996,0.0,,,10.0,0.0,7349,64.5,24.0,f,0
42169263,10000,10000,10000.0, 36 months,12.39,334.01,C,C1,Instructor,2 years,RENT,46000.0,Not Verified,n,,,debt_consolidation,Debt consolidation,178xx,PA,27.08,0.0,Oct-2002,0.0,,,27.0,0.0,9909,68.3,43.0,w,0
22503764,20000,20000,20000.0, 60 months,16.99,496.95,D,D3,Chemist,8 years,MORTGAGE,100000.0,Source Verified,n,,,home_improvement,Home improvement,700xx,LA,7.6,1.0,Jul-1998,2.0,15.0,,9.0,0.0,761,6.5,17.0,w,1
77016992,20000,20000,20000.0, 36 months,13.99,683.46,C,C4,Sales Associate,< 1 year,RENT,75380.0,Verified,n,,,other,Other,032xx,NH,24.32,1.0,Jun-1975,0.0,10.0,15.0,3.0,3.0,6768,96.7,22.0,w,0
73624460,10500,10500,10500.0, 60 months,17.77,265.32,D,D1,Andiamo,5 years,RENT,40000.0,Not Verified,n,,,debt_consolidation,Consolidation loan,481xx,MI,7.26,1.0,Mar-2006,1.0,21.0,,7.0,0.0,2346,17.6,12.0,f,0
39804419,1500,1500,1500.0, 36 months,19.05,55.03,D,D4,,,MORTGAGE,45165.78,Verified,n,,,other,Christmas 2012,973xx,OR,11.42,1.0,Jun-1984,3.0,23.0,,10.0,0.0,17205,78.9,25.0,w,0
62032855,21000,21000,21000.0, 36 months,10.99,687.42,B,B3,Director - IT Operations,10+ years,RENT,121000.0,Source Verified,n,,,debt_consolidation,Debt consolidation,945xx,CA,13.57,0.0,Feb-2002,2.0,,,7.0,0.0,25577,86.7,34.0,f,0
72984372,15000,15000,14950.0, 60 months,15.88,363.82,C,C4,cardington yutaka tech.,10+ years,RENT,75000.0,Verified,n,,  Borrower added on 07/30/13 > funeral and personal expenses<br>,other,Other,448xx,OH,22.46,0.0,Mar-1991,0.0,,,8.0,0.0,8896,21.5,20.0,f,0
73787100,17500,17500,17500.0, 60 months,25.89,522.82,G,G3,CUSTOMER SERVICES SUPERVISOR,8 years,RENT,38000.0,Source Verified,n,,,debt_consolidation,Debt consolidation,957xx,CA,17.12,0.0,Dec-2005,2.0,51.0,,9.0,0.0,6175,55.1,22.0,w,1
1809382,6000,6000,6000.0, 36 months,18.25,217.67,D,D3,DIRECTOR OF SALES,< 1 year,RENT,96000.0,Source Verified,n,,  Borrower added on 12/16/13 > I am currently spending about $150 per month in high interest credit cards. Paying you $217 per month is a no brainer.<br>,other,CC loan,601xx,IL,6.41,0.0,Jan-1991,2.0,80.0,,9.0,0.0,12587,55.9,20.0,w,0
43221504,31300,31300,31300.0, 60 months,18.24,798.91,D,D5,DEPUTY SHERIFF,10+ years,RENT,93000.0,Verified,n,,,debt_consolidation,Debt consolidation,917xx,CA,29.23,0.0,Jan-1988,0.0,,,11.0,0.0,44552,94.2,15.0,w,0
35364317,16000,16000,16000.0, 60 months,12.29,358.27,C,C1,Technition,8 years,MORTGAGE,52000.0,Not Verified,n,,,debt_consolidation,Debt consolidation,640xx,MO,10.04,0.0,Apr-2005,0.0,,115.0,7.0,1.0,15754,51.3,15.0,w,0
73108477,12925,12925,12900.0, 60 months,19.99,342.37,E,E4,Office Manager,10+ years,RENT,49000.0,Source Verified,n,,,debt_consolidation,Debt consolidation,641xx,MO,16.56,0.0,Apr-2002,0.0,55.0,,5.0,0.0,9798,50.2,18.0,f,0
38839947,16000,16000,16000.0, 60 months,17.27,399.97,C,C5,"Preferred  Temporary Services, Inc.",10+ years,RENT,55000.0,Source Verified,n,,,debt_consolidation,Debt consolidation,446xx,OH,10.1,0.0,Mar-1998,1.0,,,8.0,0.0,12711,76.1,13.0,f,0
7087095,7000,7000,7000.0, 36 months,11.99,232.47,B,B3,commerical mgr,5 years,MORTGAGE,38000.0,Source Verified,n,,  Borrower added on 03/06/14 > payoff high interest credit card and renovated master bathroom and the bedrooms floor<br>,home_improvement,Home improvement,330xx,FL,2.34,0.0,Dec-1984,0.0,,61.0,6.0,1.0,1880,11.3,21.0,f,0
